12896,11292,"Lubbock, TX","Denver, CO",456,6700,411,R411
13502,11292,"Montrose/Delta, CO","Denver, CO",196,6700,412,R412
13891,11292,"Ontario, CA","Denver, CO",819,6700,413,R413
14107,11292,"Phoenix, AZ","Denver, CO",602,6700,414,R414
14457,11292,"Rapid City, SD","Denver, CO",300,6700,415,R415
10800,11292,"Burbank, CA","Denver, CO",850,0A875,416,R416
10821,11292,"Baltimore, MD","Denver, CO",1491,0A875,417,R417
11057,11292,"Charlotte, NC","Denver, CO",1337,0A875,418,R418
11292,10397,"Denver, CO","Atlanta, GA",1199,0A875,419,R419
11292,11618,"Denver, CO","Newark, NJ",1605,0A875,420,R420
11292,13198,"Denver, CO","Kansas City, MO",533,0A875,421,R421
11292,14262,"Denver, CO","Palm Springs, CA",776,0A875,422,R422
13851,11292,"Oklahoma City, OK","Denver, CO",495,0A875,423,R423
13930,11292,"Chicago, IL","Denver, CO",888,0A875,424,R424
14262,11292,"Palm Springs, CA","Denver, CO",776,0A875,425,R425
14492,11292,"Raleigh/Durham, NC","Denver, CO",1436,0A875,426,R426
10140,11292,"Albuquerque, NM","Denver, CO",349,6725,427,R427
10257,11292,"Albany, NY","Denver, CO",1610,6725,428,R428
10397,11292,"Atlanta, GA","Denver, CO",1199,6725,429,R429
10529,11292,"Hartford, CT","Denver, CO",1671,6725,430,R430
11292,10994,"Denver, CO","Charleston, SC",1449,6725,431,R431
11292,12339,"Denver, CO","Indianapolis, IN",977,6725,432,R432
11292,12954,"Denver, CO","Long Beach, CA",854,6725,433,R433
11292,13198,"Denver, CO","Kansas City, MO",533,6725,434,R434
11292,13495,"Denver, CO","New Orleans, LA",1062,6725,435,R435
11292,13495,"Denver, CO","New Orleans, LA",1062,6725,436,R436
11292,13871,"Denver, CO","Omaha, NE",472,6725,437,R437
11292,13891,"Denver, CO","Ontario, CA",819,6725,438,R438
11292,13931,"Denver, CO","Norfolk, VA",1553,6725,439,R439
11292,14683,"Denver, CO","San Antonio, TX",794,6725,440,R440
11292,14747,"Denver, CO","Seattle, WA",1024,6725,441,R441
11292,14831,"Denver, CO","San Jose, CA",948,6725,442,R442
11292,14893,"Denver, CO","Sacramento, CA",909,6725,443,R443
11292,15376,"Denver, CO","Tucson, AZ",639,6725,444,R444
12339,11292,"Indianapolis, IN","Denver, CO",977,6725,445,R445
12954,11292,"Long Beach, CA","Denver, CO",854,6725,446,R446
13495,11292,"New Orleans, LA","Denver, CO",1062,6725,447,R447
13871,11292,"Omaha, NE","Denver, CO",472,6725,448,R448
13891,11292,"Ontario, CA","Denver, CO",819,6725,449,R449
13931,11292,"Norfolk, VA","Denver, CO",1553,6725,450,R450
10140,11292,"Albuquerque, NM","Denver, CO",349,6003,451,R451
10599,11292,"Birmingham, AL","Denver, CO",1083,6003,452,R452
11042,11292,"Cleveland, OH","Denver, CO",1201,6003,453,R453
11292,10140,"Denver, CO","Albuquerque, NM",349,6003,454,R454
11292,10693,"Denver, CO","Nashville, TN",1014,6003,455,R455
11292,11540,"Denver, CO","El Paso, TX",563,6003,456,R456
11292,13244,"Denver, CO","Memphis, TN",872,6003,457,R457
11292,13851,"Denver, CO","Oklahoma City, OK",495,6003,458,R458
11292,15919,"Denver, CO","Fayetteville, AR",616,6003,459,R459
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,6003,460,R460
11423,11292,"Des Moines, IA","Denver, CO",589,6003,461,R461
13244,11292,"Memphis, TN","Denver, CO",872,6003,462,R462
13487,11292,"Minneapolis, MN","Denver, CO",680,6003,463,R463
13495,11292,"New Orleans, LA","Denver, CO",1062,6003,464,R464
13871,11292,"Omaha, NE","Denver, CO",472,6003,465,R465
14683,11292,"San Antonio, TX","Denver, CO",794,6003,466,R466
15919,11292,"Fayetteville, AR","Denver, CO",616,6003,467,R467
11003,11292,"Cedar Rapids/Iowa City, IA","Denver, CO",692,6460,468,R468
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,6460,469,R469
11292,12339,"Denver, CO","Indianapolis, IN",977,6460,470,R470
12339,11292,"Indianapolis, IN","Denver, CO",977,6460,471,R471
13487,11292,"Minneapolis, MN","Denver, CO",680,6460,472,R472
10620,11292,"Billings, MT","Denver, CO",455,6904,473,R473
11292,10620,"Denver, CO","Billings, MT",455,6904,474,R474
11292,14783,"Denver, CO","Springfield, MO",637,6904,475,R475
11292,14814,"Denver, CO","Shreveport, LA",792,6904,476,R476
11292,15376,"Denver, CO","Tucson, AZ",639,6904,477,R477
13198,11292,"Kansas City, MO","Denver, CO",533,6904,478,R478
14814,11292,"Shreveport, LA","Denver, CO",792,6904,479,R479
15376,11292,"Tucson, AZ","Denver, CO",639,6904,480,R480
13930,11109,"Chicago, IL","Colorado Springs, CO",911,6085,481,R481
13891,11292,"Ontario, CA","Denver, CO",819,6910,482,R482
11921,12892,"Grand Junction, CO","Los Angeles, CA",655,1131,483,R483
12892,11921,"Los Angeles, CA","Grand Junction, CO",655,1131,484,R484
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,0A050,485,R485
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,0A050,486,R486
10140,11292,"Albuquerque, NM","Denver, CO",349,7041,487,R487
11292,10140,"Denver, CO","Albuquerque, NM",349,7041,488,R488
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,7041,489,R489
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,7041,490,R490
11292,11884,"Denver, CO","Spokane, WA",836,6700,491,R491
11292,13486,"Denver, CO","Missoula, MT",679,6700,492,R492
11292,13487,"Denver, CO","Minneapolis, MN",680,6700,493,R493
11292,14783,"Denver, CO","Springfield, MO",637,6700,494,R494
11413,12892,"Durango, CO","Los Angeles, CA",640,6700,495,R495
11884,11292,"Spokane, WA","Denver, CO",836,6700,496,R496
12892,11413,"Los Angeles, CA","Durango, CO",640,6700,497,R497
13198,11292,"Kansas City, MO","Denver, CO",533,6700,498,R498
13486,11292,"Missoula, MT","Denver, CO",679,6700,499,R499
13487,11292,"Minneapolis, MN","Denver, CO",680,6700,500,R500
13871,11292,"Omaha, NE","Denver, CO",472,6700,501,R501
14783,11292,"Springfield, MO","Denver, CO",637,6700,502,R502
10397,11292,"Atlanta, GA","Denver, CO",1199,0A875,503,R503
10849,11292,"Bozeman, MT","Denver, CO",524,0A875,504,R504
11003,11292,"Cedar Rapids/Iowa City, IA","Denver, CO",692,0A875,505,R505
11066,11292,"Columbus, OH","Denver, CO",1154,0A875,506,R506
11066,11292,"Columbus, OH","Denver, CO",1154,0A875,507,R507
11193,11292,"Cincinnati, OH","Denver, CO",1069,0A875,508,R508
11292,10713,"Denver, CO","Boise, ID",649,0A875,509,R509
11292,10849,"Denver, CO","Bozeman, MT",524,0A875,510,R510
11292,11057,"Denver, CO","Charlotte, NC",1337,0A875,511,R511
11292,11066,"Denver, CO","Columbus, OH",1154,0A875,512,R512
11292,11066,"Denver, CO","Columbus, OH",1154,0A875,513,R513
11292,11603,"Denver, CO","Eugene, OR",996,0A875,514,R514
11292,11648,"Denver, CO","Kalispell, MT",752,0A875,515,R515
11292,12982,"Denver, CO","Lihue, HI",3414,0A875,516,R516
11292,13485,"Denver, CO","Madison, WI",826,0A875,517,R517
11292,13495,"Denver, CO","New Orleans, LA",1062,0A875,518,R518
11292,14100,"Denver, CO","Philadelphia, PA",1558,0A875,519,R519
11292,14100,"Denver, CO","Philadelphia, PA",1558,0A875,520,R520
11292,14570,"Denver, CO","Reno, NV",804,0A875,521,R521
11292,14771,"Denver, CO","San Francisco, CA",967,0A875,522,R522
11433,11292,"Detroit, MI","Denver, CO",1123,0A875,523,R523
11648,11292,"Kalispell, MT","Denver, CO",752,0A875,524,R524
12982,11292,"Lihue, HI","Denver, CO",3414,0A875,525,R525
13485,11292,"Madison, WI","Denver, CO",826,0A875,526,R526
14570,11292,"Reno, NV","Denver, CO",804,0A875,527,R527
10140,11292,"Albuquerque, NM","Denver, CO",349,6725,528,R528
10994,11292,"Charleston, SC","Denver, CO",1449,6725,529,R529
11292,10423,"Denver, CO","Austin, TX",775,6725,530,R530
11292,13931,"Denver, CO","Norfolk, VA",1553,6725,531,R531
11292,14679,"Denver, CO","San Diego, CA",853,6725,532,R532
11292,14683,"Denver, CO","San Antonio, TX",794,6725,533,R533
11292,14831,"Denver, CO","San Jose, CA",948,6725,534,R534
13342,11292,"Milwaukee, WI","Denver, CO",896,6725,535,R535
13487,11292,"Minneapolis, MN","Denver, CO",680,6725,536,R536
13931,11292,"Norfolk, VA","Denver, CO",1553,6725,537,R537
14683,11292,"San Antonio, TX","Denver, CO",794,6725,538,R538
14869,11292,"Salt Lake City, UT","Denver, CO",391,6725,539,R539
15376,11292,"Tucson, AZ","Denver, CO",639,6725,540,R540
11292,12339,"Denver, CO","Indianapolis, IN",977,6003,541,R541
11292,14683,"Denver, CO","San Antonio, TX",794,6003,542,R542
11540,11292,"El Paso, TX","Denver, CO",563,6003,543,R543
14869,11292,"Salt Lake City, UT","Denver, CO",391,6003,544,R544
11292,13342,"Denver, CO","Milwaukee, WI",896,6460,545,R545
11292,14908,"Denver, CO","Santa Ana, CA",846,6460,546,R546
13342,11292,"Milwaukee, WI","Denver, CO",896,6460,547,R547
14908,11292,"Santa Ana, CA","Denver, CO",846,6460,548,R548
11292,13487,"Denver, CO","Minneapolis, MN",680,6795,549,R549
11292,12278,"Denver, CO","Wichita, KS",420,6904,550,R550
12278,11292,"Wichita, KS","Denver, CO",420,6904,551,R551
13502,13930,"Montrose/Delta, CO","Chicago, IL",1081,6820,552,R552
13930,13502,"Chicago, IL","Montrose/Delta, CO",1081,6820,553,R553
11292,10800,"Denver, CO","Burbank, CA",850,6910,554,R554
11292,14730,"Denver, CO","Louisville, KY",1024,6910,555,R555
11292,14869,"Denver, CO","Salt Lake City, UT",391,6910,556,R556
14869,11292,"Salt Lake City, UT","Denver, CO",391,6910,557,R557
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,7041,558,R558
11292,12339,"Denver, CO","Indianapolis, IN",977,7041,559,R559
12339,11292,"Indianapolis, IN","Denver, CO",977,7041,560,R560
10620,11292,"Billings, MT","Denver, CO",455,6700,561,R561
11292,10397,"Denver, CO","Atlanta, GA",1199,6700,562,R562
11292,10620,"Denver, CO","Billings, MT",455,6700,563,R563
11292,11042,"Denver, CO","Cleveland, OH",1201,6700,564,R564
11292,11413,"Denver, CO","Durango, CO",250,6700,565,R565
11292,11648,"Denver, CO","Kalispell, MT",752,6700,566,R566
11292,12278,"Denver, CO","Wichita, KS",420,6700,567,R567
11292,13198,"Denver, CO","Kansas City, MO",533,6700,568,R568
11292,13244,"Denver, CO","Memphis, TN",872,6700,569,R569
11292,13433,"Denver, CO","Minot, ND",604,6700,570,R570
11292,13871,"Denver, CO","Omaha, NE",472,6700,571,R571
11292,14689,"Denver, CO","Santa Barbara, CA",916,6700,572,R572
11413,11292,"Durango, CO","Denver, CO",250,6700,573,R573
13198,11292,"Kansas City, MO","Denver, CO",533,6700,574,R574
13244,11292,"Memphis, TN","Denver, CO",872,6700,575,R575
14262,11292,"Palm Springs, CA","Denver, CO",776,6700,576,R576
14869,11292,"Salt Lake City, UT","Denver, CO",391,6700,577,R577
10713,11292,"Boise, ID","Denver, CO",649,0A875,578,R578
11057,11292,"Charlotte, NC","Denver, CO",1337,0A875,579,R579
11292,10821,"Denver, CO","Baltimore, MD",1491,0A875,580,R580
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,0A875,581,R581
11292,11057,"Denver, CO","Charlotte, NC",1337,0A875,582,R582
11292,11193,"Denver, CO","Cincinnati, OH",1069,0A875,583,R583
11292,11618,"Denver, CO","Newark, NJ",1605,0A875,584,R584
11292,11884,"Denver, CO","Spokane, WA",836,0A875,585,R585
11292,13264,"Denver, CO","Medford, OR",964,0A875,586,R586
11292,13891,"Denver, CO","Ontario, CA",819,0A875,587,R587
11292,14831,"Denver, CO","San Jose, CA",948,0A875,588,R588
11292,14893,"Denver, CO","Sacramento, CA",909,0A875,589,R589
11292,15376,"Denver, CO","Tucson, AZ",639,0A875,590,R590
11697,11292,"Fort Lauderdale, FL","Denver, CO",1703,0A875,591,R591
11884,11292,"Spokane, WA","Denver, CO",836,0A875,592,R592
13198,11292,"Kansas City, MO","Denver, CO",533,0A875,593,R593
13851,11292,"Oklahoma City, OK","Denver, CO",495,0A875,594,R594
13891,11292,"Ontario, CA","Denver, CO",819,0A875,595,R595
14057,11292,"Portland, OR","Denver, CO",991,0A875,596,R596
14747,11292,"Seattle, WA","Denver, CO",1024,0A875,597,R597
14831,11292,"San Jose, CA","Denver, CO",948,0A875,598,R598
15376,11292,"Tucson, AZ","Denver, CO",639,0A875,599,R599
10693,11292,"Nashville, TN","Denver, CO",1014,6725,600,R600
11292,12954,"Denver, CO","Long Beach, CA",854,6725,601,R601
11292,13487,"Denver, CO","Minneapolis, MN",680,6725,602,R602
11292,15016,"Denver, CO","St. Louis, MO",770,6725,603,R603
12191,11292,"Houston, TX","Denver, CO",883,6725,604,R604
12954,11292,"Long Beach, CA","Denver, CO",854,6725,605,R605
13851,11292,"Oklahoma City, OK","Denver, CO",495,6725,606,R606
14122,11292,"Pittsburgh, PA","Denver, CO",1290,6725,607,R607
15016,11292,"St. Louis, MO","Denver, CO",770,6725,608,R608
15016,11292,"St. Louis, MO","Denver, CO",770,6003,609,R609
11292,14107,"Denver, CO","Phoenix, AZ",602,6460,610,R610
14107,11292,"Phoenix, AZ","Denver, CO",602,6460,611,R611
13487,11292,"Minneapolis, MN","Denver, CO",680,6795,612,R612
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,6904,613,R613
11233,11292,"Cheyenne, WY","Denver, CO",90,6932,614,R614
11292,11233,"Denver, CO","Cheyenne, WY",90,6932,615,R615
11292,13244,"Denver, CO","Memphis, TN",872,7041,616,R616
13487,11292,"Minneapolis, MN","Denver, CO",680,7041,617,R617
13502,13930,"Montrose/Delta, CO","Chicago, IL",1081,7041,618,R618
13930,13502,"Chicago, IL","Montrose/Delta, CO",1081,7041,619,R619
10397,11292,"Atlanta, GA","Denver, CO",1199,6700,620,R620
11042,11292,"Cleveland, OH","Denver, CO",1201,6700,621,R621
11109,12892,"Colorado Springs, CO","Los Angeles, CA",834,6700,622,R622
11292,11057,"Denver, CO","Charlotte, NC",1337,6700,623,R623
11292,13264,"Denver, CO","Medford, OR",964,6700,624,R624
11292,13964,"Denver, CO","North Bend/Coos Bay, OR",1040,6700,625,R625
11423,11292,"Des Moines, IA","Denver, CO",589,6700,626,R626
11648,11292,"Kalispell, MT","Denver, CO",752,6700,627,R627
12278,11292,"Wichita, KS","Denver, CO",420,6700,628,R628
13244,11292,"Memphis, TN","Denver, CO",872,6700,629,R629
13433,11292,"Minot, ND","Denver, CO",604,6700,630,R630
13964,11292,"North Bend/Coos Bay, OR","Denver, CO",1040,6700,631,R631
14489,11292,"Bend/Redmond, OR","Denver, CO",898,6700,632,R632
14689,11292,"Santa Barbara, CA","Denver, CO",916,6700,633,R633
15370,11292,"Tulsa, OK","Denver, CO",541,6700,634,R634
15376,11292,"Tucson, AZ","Denver, CO",639,6700,635,R635
10423,11292,"Austin, TX","Denver, CO",775,0A875,636,R636
11292,11433,"Denver, CO","Detroit, MI",1123,0A875,637,R637
11292,11986,"Denver, CO","Grand Rapids, MI",1015,0A875,638,R638
11292,12339,"Denver, CO","Indianapolis, IN",977,0A875,639,R639
11292,13198,"Denver, CO","Kansas City, MO",533,0A875,640,R640
11292,13342,"Denver, CO","Milwaukee, WI",896,0A875,641,R641
11292,13495,"Denver, CO","New Orleans, LA",1062,0A875,642,R642
11618,11292,"Newark, NJ","Denver, CO",1605,0A875,643,R643
12339,11292,"Indianapolis, IN","Denver, CO",977,0A875,644,R644
12339,11292,"Indianapolis, IN","Denver, CO",977,0A875,645,R645
13264,11292,"Medford, OR","Denver, CO",964,0A875,646,R646
13342,11292,"Milwaukee, WI","Denver, CO",896,0A875,647,R647
14100,11292,"Philadelphia, PA","Denver, CO",1558,0A875,648,R648
11292,11697,"Denver, CO","Fort Lauderdale, FL",1703,6725,649,R649
11292,12451,"Denver, CO","Jacksonville, FL",1447,6725,650,R650
11292,13198,"Denver, CO","Kansas City, MO",533,6725,651,R651
11292,13796,"Denver, CO","Oakland, CA",957,6725,652,R652
11292,13851,"Denver, CO","Oklahoma City, OK",495,6725,653,R653
12451,11292,"Jacksonville, FL","Denver, CO",1447,6725,654,R654
14771,11292,"San Francisco, CA","Denver, CO",967,6725,655,R655
14869,11292,"Salt Lake City, UT","Denver, CO",391,6725,656,R656
10397,11292,"Atlanta, GA","Denver, CO",1199,6003,657,R657
11292,10397,"Denver, CO","Atlanta, GA",1199,6003,658,R658
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,6003,659,R659
11292,13871,"Denver, CO","Omaha, NE",472,6003,660,R660
11292,14730,"Denver, CO","Louisville, KY",1024,6003,661,R661
11109,11921,"Colorado Springs, CO","Grand Junction, CO",207,6200,662,R662
11292,13244,"Denver, CO","Memphis, TN",872,6200,663,R663
11292,13244,"Denver, CO","Memphis, TN",872,6200,664,R664
11921,11109,"Grand Junction, CO","Colorado Springs, CO",207,6200,665,R665
13244,11292,"Memphis, TN","Denver, CO",872,6200,666,R666
11292,11775,"Denver, CO","Sioux Falls, SD",483,6904,667,R667
11921,12889,"Grand Junction, CO","Las Vegas, NV",420,6035,668,R668
12889,11921,"Las Vegas, NV","Grand Junction, CO",420,6035,669,R669
11292,15412,"Denver, CO","Knoxville, TN",1162,7041,670,R670
15412,11292,"Knoxville, TN","Denver, CO",1162,7041,671,R671
10423,11292,"Austin, TX","Denver, CO",775,6700,672,R672
10561,11292,"Bakersfield, CA","Denver, CO",845,6700,673,R673
11057,11292,"Charlotte, NC","Denver, CO",1337,6700,674,R674
11292,11921,"Denver, CO","Grand Junction, CO",212,6700,675,R675
11292,14524,"Denver, CO","Richmond, VA",1482,6700,676,R676
14524,11292,"Richmond, VA","Denver, CO",1482,6700,677,R677
10620,11292,"Billings, MT","Denver, CO",455,0A875,678,R678
10713,11292,"Boise, ID","Denver, CO",649,0A875,679,R679
10800,11292,"Burbank, CA","Denver, CO",850,0A875,680,R680
11292,10620,"Denver, CO","Billings, MT",455,0A875,681,R681
11292,10713,"Denver, CO","Boise, ID",649,0A875,682,R682
11292,10800,"Denver, CO","Burbank, CA",850,0A875,683,R683
11292,11423,"Denver, CO","Des Moines, IA",589,0A875,684,R684
11292,11603,"Denver, CO","Eugene, OR",996,0A875,685,R685
11292,11603,"Denver, CO","Eugene, OR",996,0A875,686,R686
11292,13342,"Denver, CO","Milwaukee, WI",896,0A875,687,R687
11292,13851,"Denver, CO","Oklahoma City, OK",495,0A875,688,R688
11292,14122,"Denver, CO","Pittsburgh, PA",1290,0A875,689,R689
11292,14869,"Denver, CO","Salt Lake City, UT",391,0A875,690,R690
11423,11292,"Des Moines, IA","Denver, CO",589,0A875,691,R691
11603,11292,"Eugene, OR","Denver, CO",996,0A875,692,R692
13198,11292,"Kansas City, MO","Denver, CO",533,0A875,693,R693
13342,11292,"Milwaukee, WI","Denver, CO",896,0A875,694,R694
14100,11292,"Philadelphia, PA","Denver, CO",1558,0A875,695,R695
14122,11292,"Pittsburgh, PA","Denver, CO",1290,0A875,696,R696
15370,11292,"Tulsa, OK","Denver, CO",541,0A875,697,R697
10423,11292,"Austin, TX","Denver, CO",775,6725,698,R698
11042,11292,"Cleveland, OH","Denver, CO",1201,6725,699,R699
11292,11618,"Denver, CO","Newark, NJ",1605,6725,700,R700
11292,14193,"Denver, CO","Pensacola, FL",1179,6725,701,R701
11292,14492,"Denver, CO","Raleigh/Durham, NC",1436,6725,702,R702
14193,11292,"Pensacola, FL","Denver, CO",1179,6725,703,R703
15370,11292,"Tulsa, OK","Denver, CO",541,6725,704,R704
11003,11292,"Cedar Rapids/Iowa City, IA","Denver, CO",692,6904,705,R705
11292,12094,"Denver, CO","Hayden, CO",141,6904,706,R706
11775,11292,"Sioux Falls, SD","Denver, CO",483,6904,707,R707
11292,14730,"Denver, CO","Louisville, KY",1024,6910,708,R708
14730,11292,"Louisville, KY","Denver, CO",1024,6910,709,R709
11292,14107,"Denver, CO","Phoenix, AZ",602,0A050,710,R710
14107,11292,"Phoenix, AZ","Denver, CO",602,0A050,711,R711
11292,11042,"Denver, CO","Cleveland, OH",1201,7041,712,R712
11193,11292,"Cincinnati, OH","Denver, CO",1069,6700,713,R713
11292,15376,"Denver, CO","Tucson, AZ",639,6700,714,R714
13851,11292,"Oklahoma City, OK","Denver, CO",495,6700,715,R715
10423,11292,"Austin, TX","Denver, CO",775,0A875,716,R716
11292,10423,"Denver, CO","Austin, TX",775,0A875,717,R717
11292,10529,"Denver, CO","Hartford, CT",1671,0A875,718,R718
11292,11433,"Denver, CO","Detroit, MI",1123,0A875,719,R719
11292,11697,"Denver, CO","Fort Lauderdale, FL",1703,0A875,720,R720
11292,12953,"Denver, CO","New York, NY",1620,0A875,721,R721
11292,13485,"Denver, CO","Madison, WI",826,0A875,722,R722
11292,13487,"Denver, CO","Minneapolis, MN",680,0A875,723,R723
11292,14747,"Denver, CO","Seattle, WA",1024,0A875,724,R724
11292,15370,"Denver, CO","Tulsa, OK",541,0A875,725,R725
11603,11292,"Eugene, OR","Denver, CO",996,0A875,726,R726
13495,11292,"New Orleans, LA","Denver, CO",1062,0A875,727,R727
14869,11292,"Salt Lake City, UT","Denver, CO",391,0A875,728,R728
11292,11884,"Denver, CO","Spokane, WA",836,6725,729,R729
11292,12191,"Denver, CO","Houston, TX",883,6725,730,R730
11292,12892,"Denver, CO","Los Angeles, CA",862,6725,731,R731
11292,13851,"Denver, CO","Oklahoma City, OK",495,6725,732,R732
11292,14107,"Denver, CO","Phoenix, AZ",602,6725,733,R733
11292,14771,"Denver, CO","San Francisco, CA",967,6725,734,R734
12889,11292,"Las Vegas, NV","Denver, CO",628,6725,735,R735
13198,11292,"Kansas City, MO","Denver, CO",533,6725,736,R736
14492,11292,"Raleigh/Durham, NC","Denver, CO",1436,6725,737,R737
10693,11292,"Nashville, TN","Denver, CO",1014,6003,738,R738
11109,14771,"Colorado Springs, CO","San Francisco, CA",964,6460,739,R739
14771,11109,"San Francisco, CA","Colorado Springs, CO",964,6460,740,R740
11292,13796,"Denver, CO","Oakland, CA",957,6200,741,R741
11292,12012,"Denver, CO","Gunnison, CO",152,6904,742,R742
12012,11292,"Gunnison, CO","Denver, CO",152,6904,743,R743
12094,11292,"Hayden, CO","Denver, CO",141,6904,744,R744
10466,11109,"Phoenix, AZ","Colorado Springs, CO",543,6035,745,R745
11109,10466,"Colorado Springs, CO","Phoenix, AZ",543,6035,746,R746
11109,12889,"Colorado Springs, CO","Las Vegas, NV",604,6035,747,R747
11921,12892,"Grand Junction, CO","Los Angeles, CA",655,6035,748,R748
12889,11109,"Las Vegas, NV","Colorado Springs, CO",604,6035,749,R749
12892,11921,"Los Angeles, CA","Grand Junction, CO",655,6035,750,R750
10643,11292,"Branson, MO","Denver, CO",665,1158,751,R751
11292,10643,"Denver, CO","Branson, MO",665,1158,752,R752
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,6700,753,R753
11292,11648,"Denver, CO","Kalispell, MT",752,6700,754,R754
11292,13851,"Denver, CO","Oklahoma City, OK",495,6700,755,R755
11292,13851,"Denver, CO","Oklahoma City, OK",495,6700,756,R756
11648,11292,"Kalispell, MT","Denver, CO",752,6700,757,R757
11921,11292,"Grand Junction, CO","Denver, CO",212,6700,758,R758
13264,11292,"Medford, OR","Denver, CO",964,6700,759,R759
10821,11292,"Baltimore, MD","Denver, CO",1491,0A875,760,R760
11292,12339,"Denver, CO","Indianapolis, IN",977,0A875,761,R761
11292,14057,"Denver, CO","Portland, OR",991,0A875,762,R762
11433,11292,"Detroit, MI","Denver, CO",1123,0A875,763,R763
11603,11292,"Eugene, OR","Denver, CO",996,0A875,764,R764
12339,11292,"Indianapolis, IN","Denver, CO",977,0A875,765,R765
13485,11292,"Madison, WI","Denver, CO",826,0A875,766,R766
11292,10397,"Denver, CO","Atlanta, GA",1199,6725,767,R767
11292,10529,"Denver, CO","Hartford, CT",1671,6725,768,R768
12339,11292,"Indianapolis, IN","Denver, CO",977,6725,769,R769
13487,11292,"Minneapolis, MN","Denver, CO",680,6725,770,R770
14683,11292,"San Antonio, TX","Denver, CO",794,6725,771,R771
11292,11278,"Denver, CO","Washington, DC",1476,6460,772,R772
14730,11292,"Louisville, KY","Denver, CO",1024,6910,773,R773
11066,11292,"Columbus, OH","Denver, CO",1154,6700,774,R774
11292,10800,"Denver, CO","Burbank, CA",850,6700,775,R775
11292,11066,"Denver, CO","Columbus, OH",1154,6700,776,R776
11292,15376,"Denver, CO","Tucson, AZ",639,6700,777,R777
15016,11292,"St. Louis, MO","Denver, CO",770,6700,778,R778
10529,11292,"Hartford, CT","Denver, CO",1671,0A875,779,R779
11292,10821,"Denver, CO","Baltimore, MD",1491,0A875,780,R780
11292,11423,"Denver, CO","Des Moines, IA",589,0A875,781,R781
11292,11775,"Denver, CO","Sioux Falls, SD",483,0A875,782,R782
11292,14262,"Denver, CO","Palm Springs, CA",776,0A875,783,R783
11423,11292,"Des Moines, IA","Denver, CO",589,0A875,784,R784
12264,11292,"Washington, DC","Denver, CO",1452,0A875,785,R785
13495,11292,"New Orleans, LA","Denver, CO",1062,0A875,786,R786
13891,11292,"Ontario, CA","Denver, CO",819,0A875,787,R787
14262,11292,"Palm Springs, CA","Denver, CO",776,0A875,788,R788
11292,11042,"Denver, CO","Cleveland, OH",1201,6725,789,R789
11292,12889,"Denver, CO","Las Vegas, NV",628,6725,790,R790
11292,13487,"Denver, CO","Minneapolis, MN",680,6725,791,R791
11292,14730,"Denver, CO","Louisville, KY",1024,6725,792,R792
13851,11292,"Oklahoma City, OK","Denver, CO",495,6725,793,R793
14730,11292,"Louisville, KY","Denver, CO",1024,6725,794,R794
14771,11292,"San Francisco, CA","Denver, CO",967,6725,795,R795
12266,11109,"Houston, TX","Colorado Springs, CO",809,6003,796,R796
11278,11292,"Washington, DC","Denver, CO",1476,6460,797,R797
11292,11423,"Denver, CO","Des Moines, IA",589,6460,798,R798
11423,11292,"Des Moines, IA","Denver, CO",589,6460,799,R799
11292,13244,"Denver, CO","Memphis, TN",872,6200,800,R800
13244,11292,"Memphis, TN","Denver, CO",872,6200,801,R801
11292,15370,"Denver, CO","Tulsa, OK",541,6904,802,R802
15370,11292,"Tulsa, OK","Denver, CO",541,6904,803,R803
11292,15177,"Denver, CO","Telluride, CO",218,6932,804,R804
15177,11292,"Telluride, CO","Denver, CO",218,6932,805,R805
10950,14107,"Cortez, CO","Phoenix, AZ",328,1177,806,R806
14107,10950,"Phoenix, AZ","Cortez, CO",328,1177,807,R807
11292,12953,"Denver, CO","New York, NY",1620,1260,808,R808
13851,11292,"Oklahoma City, OK","Denver, CO",495,6700,809,R809
10821,11292,"Baltimore, MD","Denver, CO",1491,0A875,810,R810
11292,11603,"Denver, CO","Eugene, OR",996,0A875,811,R811
11292,12264,"Denver, CO","Washington, DC",1452,0A875,812,R812
11292,13495,"Denver, CO","New Orleans, LA",1062,0A875,813,R813
11292,13871,"Denver, CO","Omaha, NE",472,0A875,814,R814
11292,13891,"Denver, CO","Ontario, CA",819,0A875,815,R815
11292,14893,"Denver, CO","Sacramento, CA",909,0A875,816,R816
11775,11292,"Sioux Falls, SD","Denver, CO",483,0A875,817,R817
11292,12264,"Denver, CO","Washington, DC",1452,6725,818,R818
12892,11292,"Los Angeles, CA","Denver, CO",862,6725,819,R819
13198,11292,"Kansas City, MO","Denver, CO",533,6725,820,R820
14107,11292,"Phoenix, AZ","Denver, CO",602,6725,821,R821
