11840,14288,"Gadsden, AL","Pueblo, CO",1070,6912,93,R93
14288,13796,"Pueblo, CO","Oakland, CA",967,6912,94,R94
11193,11292,"Cincinnati, OH","Denver, CO",1069,6841,95,R95
11292,11193,"Denver, CO","Cincinnati, OH",1069,6841,96,R96
11109,11292,"Colorado Springs, CO","Denver, CO",73,6031,97,R97
14747,11109,"Seattle, WA","Colorado Springs, CO",1068,6031,98,R98
10558,11292,"Scottsbluff, NE","Denver, CO",150,6904,99,R99
11292,13851,"Denver, CO","Oklahoma City, OK",495,6904,100,R100
10325,11292,"Denver, CO","Denver, CO",22,6975,101,R101
10558,11292,"Scottsbluff, NE","Denver, CO",150,6975,102,R102
11283,11292,"Dodge City, KS","Denver, CO",292,6975,103,R103
11292,10558,"Denver, CO","Scottsbluff, NE",150,6975,104,R104
11292,11283,"Denver, CO","Dodge City, KS",292,6975,105,R105
11292,11292,"Denver, CO","Denver, CO",0,6975,106,R106
11292,11468,"Denver, CO","Kearney, NE",305,6975,107,R107
11292,12899,"Denver, CO","North Platte, NE",228,6975,108,R108
11292,12902,"Denver, CO","Liberal, KS",280,6975,109,R109
11468,11292,"Kearney, NE","Denver, CO",305,6975,110,R110
12899,11292,"North Platte, NE","Denver, CO",228,6975,111,R111
12902,10325,"Liberal, KS","Denver, CO",274,6975,112,R112
12902,11292,"Liberal, KS","Denver, CO",280,6975,113,R113
11292,14081,"Denver, CO","Page, AZ",420,6932,114,R114
14288,11711,"Pueblo, CO","Farmington, NM",231,6932,115,R115
11292,11292,"Denver, CO","Denver, CO",0,1177,116,R116
10558,11292,"Scottsbluff, NE","Denver, CO",150,6081,117,R117
11292,10409,"Denver, CO","Watertown, SD",519,6081,118,R118
11292,12389,"Denver, CO","Williston, ND",576,6081,119,R119
12389,11292,"Williston, ND","Denver, CO",576,6081,120,R120
11921,12889,"Grand Junction, CO","Las Vegas, NV",420,6035,121,R121
12889,11921,"Las Vegas, NV","Grand Junction, CO",420,6035,122,R122
11109,11292,"Colorado Springs, CO","Denver, CO",73,0A050,123,R123
11109,11298,"Colorado Springs, CO","Dallas/Fort Worth, TX",592,0A050,124,R124
