DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,2,4000,16,3,0,0,735,233,209,0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1,11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,6,684,1,2017,2,6,2,L
0,1,2000,8,2,0,0,292,54,47,0WQ,21352,Avjet Corporation,1150,D,0WQ,Avjet Corporation,1,1,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82,6,684,1,2017,2,6,1,L
0,1,51700,187,62,0,0,602,164,88,AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,6,699,1,2017,2,6,2,L
0,1,51700,187,56,0,0,1558,260,216,AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,3,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,699,1,2017,2,6,4,L
0,1,49760,199,160,0,0,1184,169,152,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,6,622,1,2017,2,6,3,F
0,1,34446,132,30,0,0,1199,212,172,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,698,1,2017,2,6,3,F
0,1,50700,192,150,14,39,1199,174,156,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,699,1,2017,2,6,3,F
0,1,49760,199,160,0,0,1184,166,148,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,6,622,1,2017,2,6,3,F
0,1,38879,160,139,0,0,592,91,75,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,6,694,1,2017,2,6,2,F
0,1,29900,110,103,492,0,230,83,54,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,11122,1112203,31122,CPR,"Casper, WY",WY,56,Wyoming,88,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,608,1,2017,2,6,1,F
