AIRCRAFT_TYPE,AIRCRAFT_CONFIG,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,RAMP_TO_RAMP,AIR_TIME,DISTANCE_GROUP,CLASS
614,1,39900,160,133,0,0,87,71,1,F
608,1,29900,110,101,0,0,166,136,2,F
608,1,29900,110,110,0,0,126,86,2,F
694,1,77758,320,281,0,0,219,176,2,F
614,1,40870,160,155,0,0,78,60,1,F
614,1,41370,160,154,6,0,176,154,3,F
608,1,29900,110,106,53,0,131,103,2,F
694,1,38879,160,160,21,0,112,95,2,F
631,1,17610,70,70,0,0,110,74,2,F
631,1,17610,70,55,0,0,153,132,3,F
629,1,13500,50,35,0,0,91,61,1,F
629,1,13500,50,0,0,0,143,97,2,F
629,1,13500,50,0,0,0,137,100,2,F
629,1,13500,50,46,0,0,104,85,2,F
629,1,13500,50,48,0,0,56,41,1,F
673,1,15200,76,0,0,0,218,191,3,F
631,1,18740,70,70,0,0,78,52,1,F
631,1,18740,70,62,0,0,210,183,3,F
673,1,15200,76,69,0,0,151,129,2,F
673,1,15200,76,58,0,0,109,89,2,F
629,1,13500,50,45,0,0,89,64,1,F
629,1,13500,50,43,0,0,64,37,1,F
631,1,18740,70,67,0,0,122,91,2,F
673,1,15200,76,69,0,0,169,137,3,F
673,1,15200,76,0,0,0,133,118,2,F
631,1,18740,70,69,0,0,134,64,1,F
631,1,18740,70,48,0,0,125,98,2,F
631,1,18740,70,63,0,0,148,127,2,F
631,1,18740,70,63,0,0,81,61,1,F
673,1,15200,76,65,0,0,139,114,2,F
629,1,13500,50,40,0,0,158,133,2,F
673,1,15200,76,76,0,0,135,112,2,F
629,1,13500,50,50,0,0,162,130,3,F
629,1,13500,50,0,0,0,180,147,2,F
631,1,18740,70,0,0,0,233,134,2,F
631,1,18740,70,68,0,0,145,110,2,F
673,1,15200,76,73,0,0,106,86,2,F
673,1,15200,76,0,0,0,131,86,2,F
631,1,18740,70,0,0,0,109,84,2,F
629,1,13500,50,0,0,0,160,122,2,F
631,1,18740,70,34,0,0,89,57,1,F
673,1,15200,76,53,0,0,74,51,1,F
631,1,18740,70,0,0,0,139,113,2,F
673,1,15200,76,62,0,0,129,110,2,F
631,1,18740,70,16,0,0,141,122,2,F
629,1,13500,50,0,0,0,123,93,2,F
673,1,15200,76,0,0,0,200,134,2,F
673,1,15200,76,76,0,0,148,131,2,F
629,1,13500,50,41,0,0,129,111,2,F
631,1,18740,70,69,0,0,153,122,2,F
673,1,15200,76,65,0,0,136,107,2,F
629,1,13500,50,45,0,0,178,105,1,F
631,1,18740,70,68,0,0,141,118,2,F
631,1,18740,70,67,0,0,129,114,2,F
694,1,32640,150,140,1,0,66,48,1,F
614,1,41971,166,151,0,1040,240,218,4,F
698,1,31999,128,127,0,1858,258,235,4,F
694,1,36804,150,84,0,0,107,67,2,F
694,1,36640,150,144,0,0,66,52,1,F
634,1,48470,179,154,55,23,94,66,1,F
694,1,35090,150,150,865,0,215,194,4,F
694,1,36804,150,144,181,0,89,74,2,F
694,1,36867,150,89,0,0,172,144,3,F
698,1,36158,128,86,0,1615,152,128,3,F
698,1,32862,128,126,0,0,215,203,4,F
624,1,100549,242,200,0,0,199,179,3,F
626,1,82777,214,126,0,75,140,113,2,F
698,1,35433,128,106,10,539,108,89,2,F
614,1,42241,166,137,703,1350,88,70,2,F
698,1,35372,128,102,0,40,208,184,4,F
698,1,35936,128,121,0,0,123,111,2,F
694,1,36733,150,134,55,1976,198,175,4,F
614,1,34143,166,99,0,0,120,102,2,F
694,1,36072,150,128,0,0,194,178,3,F
614,1,42690,166,105,0,0,128,113,2,F
698,1,35554,128,126,77,1604,85,69,1,F
614,1,41831,166,162,0,65,136,97,2,F
698,1,35832,128,119,0,97,115,95,2,F
614,1,41556,166,124,11,0,82,63,2,F
624,1,98334,242,173,306,361,216,185,3,F
622,1,48320,169,161,0,1335,141,119,2,F
626,1,82502,214,207,0,707,137,110,2,F
614,1,43141,166,107,0,954,101,80,2,F
622,1,48843,169,166,85,404,223,204,4,F
614,1,41843,166,164,0,0,123,105,2,F
634,1,46360,179,97,42,0,123,105,2,F
694,1,34772,150,138,0,0,230,200,3,F
614,1,38790,166,38,0,0,134,99,2,F
694,1,36768,150,128,117,395,124,107,2,F
694,1,35694,150,109,0,0,141,119,2,F
622,1,48920,169,129,508,430,149,122,2,F
637,1,290384,732,385,8694,0,272,215,2,F
614,1,37980,166,159,0,679,132,114,2,F
614,1,36271,166,157,0,649,134,109,2,F
698,1,28852,128,125,24,260,148,111,2,F
614,1,28356,166,123,23,0,99,86,2,F
619,1,32200,143,107,85,0,292,248,3,F
619,1,32200,143,139,1026,0,176,164,3,F
619,1,32200,143,128,0,0,65,51,1,F
619,1,32200,143,121,944,0,110,97,2,F
619,1,32200,143,140,110,0,155,137,3,F
619,1,32200,143,128,96,0,145,128,3,F
619,1,32200,143,136,0,0,119,104,2,F
619,1,32200,143,133,0,0,153,138,2,F
619,1,32200,143,138,377,0,201,180,4,F
619,1,32200,143,139,760,0,149,118,2,F
614,1,43400,175,163,0,0,218,200,4,F
619,1,32200,143,141,26,0,89,73,2,F
619,1,32200,143,123,160,0,172,153,3,F
619,1,32200,143,84,0,0,153,137,3,F
614,1,43400,175,175,345,0,153,137,3,F
619,1,32200,143,143,569,0,205,189,3,F
619,1,32200,143,140,0,0,121,102,2,F
614,1,43400,175,171,0,0,228,212,4,F
619,1,32200,143,140,6,0,133,118,2,F
673,1,21803,76,61,0,0,182,159,3,F
673,1,21803,76,73,0,0,43,17,1,F
673,1,21803,76,70,0,0,164,139,3,F
673,1,21803,76,65,0,0,50,21,1,F
677,1,19092,70,60,0,0,98,74,2,F
677,1,19092,70,33,0,0,98,64,1,F
673,1,21803,76,65,0,0,89,64,1,F
