"code","long","lat"
"01236",-73.38,42.26
"01237",-73.24,42.56
"01238",-73.20,42.28
"01240",-73.27,42.36
"01242",-73.24,42.33
"01243",-73.00,42.35
"01244",-73.26,42.11
"01245",-73.21,42.19
"01247",-73.09,42.69
"01252",-73.43,42.19
"01253",-73.09,42.20
"01254",-73.36,42.37
"01255",-73.12,42.10
"01256",-73.02,42.59
"01257",-73.36,42.09
"01258",-73.46,42.09
"01259",-73.24,42.07
"01260",-73.28,42.29
"01262",-73.31,42.28
"01263",-73.31,42.28
"01264",-73.20,42.24
"01266",-73.38,42.30
"01267",-73.23,42.67
"01270",-73.04,42.51
"01301",-72.60,42.62
"01302",-72.59,42.58
"01330",-72.81,42.52
"01331",-72.18,42.56
"01337",-72.57,42.69
"01338",-72.80,42.57
"01339",-72.89,42.60
"01340",-72.73,42.68
"01341",-72.70,42.50
"01342",-72.61,42.54
"01343",-72.98,42.65
"01344",-72.42,42.60
"01346",-72.83,42.66
"01347",-72.51,42.56
"01349",-72.49,42.57
"01350",-72.98,42.72
"01351",-72.51,42.54
"01355",-72.33,42.45
"01360",-72.44,42.67
"01364",-72.29,42.61
"01366",-72.22,42.45
"01367",-72.91,42.69
"01368",-72.18,42.67
"01370",-72.73,42.60
"01373",-72.61,42.46
"01375",-72.55,42.46
"01376",-72.52,42.62
"01378",-72.34,42.67
"01379",-72.40,42.55
"01380",-72.36,42.59
"01420",-71.81,42.59
"01430",-71.92,42.66
"01431",-71.82,42.67
"01432",-71.58,42.55
"01436",-72.09,42.60
"01438",-72.03,42.56
"01440",-71.98,42.58
"01441",-71.98,42.57
"01450",-71.56,42.61
"01451",-71.57,42.50
"01452",-72.00,42.48
"01453",-71.76,42.52
"01460",-71.48,42.53
"01462",-71.72,42.58
"01463",-71.60,42.67
"01464",-71.64,42.57
"01467",-71.61,42.49
"01468",-72.06,42.54
"01469",-71.69,42.66
"01471",-71.58,42.62
"01472",-71.62,42.60
"01473",-71.90,42.55
"01474",-71.74,42.66
"01475",-72.04,42.66
"01477",-72.01,42.69
"01501",-71.84,42.19
"01503",-71.63,42.38
"01504",-71.53,42.03
"01505",-71.72,42.35
"01506",-72.10,42.19
"01507",-71.96,42.13
"01508",-71.98,42.14
"01509",-71.97,42.17
"01510",-71.68,42.41
"01515",-72.04,42.20
"01516",-71.75,42.05
"01517",-71.84,42.47
"01518",-72.11,42.11
"01519",-71.67,42.20
"01520",-71.85,42.33
"01521",-72.16,42.05
"01522",-71.86,42.38
"01523",-71.67,42.48
"01524",-71.91,42.24
"01525",-71.65,42.10
"01526",-71.76,42.08
"01527",-71.77,42.19
"01529",-71.57,42.03
"01531",-72.12,42.31
"01532",-71.64,42.32
"01534",-71.64,42.14
"01535",-72.07,42.26
"01536",-71.69,42.22
"01537",-71.89,42.16
"01538",-71.64,42.09
"01540",-71.85,42.11
"01541",-71.88,42.45
"01542",-71.90,42.20
"01543",-71.96,42.38
"01545",-71.71,42.28
"01546",-71.74,42.29
"01550",-72.03,42.05
"01560",-71.68,42.17
"01561",-71.68,42.44
"01562",-71.99,42.24
"01564",-71.77,42.44
"01566",-72.08,42.10
"01568",-71.60,42.17
"01569",-71.63,42.05
"01570",-71.84,42.05
"01571",-71.93,42.05
"01580",-71.57,42.28
"01581",-71.61,42.26
"01582",-71.58,42.28
"01583",-71.78,42.36
"01585",-72.16,42.23
"01586",-71.76,42.19
"01588",-71.66,42.11
"01590",-71.75,42.13
"01601",-71.80,42.26
"01602",-71.84,42.27
"01603",-71.84,42.24
"01604",-71.76,42.25
"01605",-71.78,42.28
"01606",-71.79,42.31
"01607",-71.78,42.22
"01608",-71.80,42.26
"01609",-71.82,42.28
"01610",-71.80,42.24
"01611",-71.87,42.23
"01612",-71.93,42.31
"01613",-71.79,42.26
"01614",-71.80,42.26
"01615",-71.77,42.29
"01653",-71.78,42.29
"01654",-71.77,42.29
"01655",-71.75,42.27
"01701",-71.43,42.32
"01702",-71.43,42.28
"01703",-71.43,42.30
"01704",-71.40,42.32
"01705",-71.40,42.32
"01718",-71.42,42.51
"01719",-71.51,42.48
"01720",-71.43,42.48
"01721",-71.46,42.25
"01730",-71.27,42.49
"01731",-71.28,42.46
"01740",-71.60,42.43
"01741",-71.35,42.53
"01742",-71.36,42.46
"01745",-71.49,42.29
"01746",-71.44,42.19
"01747",-71.53,42.12
"01748",-71.53,42.22
"01749",-71.54,42.38
"01752",-71.54,42.34
"01754",-71.45,42.42
"01756",-71.55,42.09
"01757",-71.52,42.15
"01760",-71.34,42.28
"01770",-71.37,42.23
"01772",-71.53,42.30
"01773",-71.31,42.42
"01775",-71.50,42.42
"01776",-71.42,42.38
"01778",-71.35,42.35
"01784",-71.56,42.23
"01801",-71.15,42.48
"01803",-71.20,42.50
"01805",-71.19,42.49
"01806",-71.12,42.50
"01807",-71.12,42.50
"01808",-71.12,42.50
"01810",-71.16,42.64
"01812",-71.18,42.64
"01813",-71.12,42.50
"01815",-71.12,42.50
"01821",-71.25,42.54
"01822",-71.29,42.60
"01824",-71.35,42.59
"01826",-71.30,42.68
"01827",-71.50,42.67
"01830",-71.05,42.79
"01831",-71.08,42.77
"01832",-71.13,42.79
"01833",-70.98,42.72
"01834",-71.01,42.75
"01835",-71.08,42.75
"01840",-71.15,42.70
"01841",-71.16,42.71
"01842",-71.16,42.70
"01843",-71.16,42.68
"01844",-71.18,42.73
"01845",-71.08,42.67
"01850",-71.30,42.65
"01851",-71.33,42.62
"01852",-71.29,42.63
"01853",-71.31,42.64
"01854",-71.34,42.64
"01860",-71.01,42.83
"01862",-71.29,42.57
"01863",-71.39,42.63
"01864",-71.08,42.58
"01865",-71.25,42.52
"01866",-71.23,42.53
"01867",-71.10,42.53
"01876",-71.22,42.61
"01879",-71.42,42.66
"01880",-71.06,42.50
"01885",-71.06,42.71
"01886",-71.44,42.58
"01887",-71.16,42.55
"01888",-71.12,42.50
"01889",-71.10,42.57
"01890",-71.14,42.45
"01899",-71.18,42.64
"01901",-70.94,42.46
"01902",-70.94,42.47
"01903",-70.94,42.46
"01904",-70.96,42.49
"01905",-70.97,42.47
"01906",-71.01,42.46
"01907",-70.90,42.47
"01908",-70.92,42.42
"01910",-70.97,42.45
"01913",-70.94,42.85
"01915",-70.86,42.56
"01921",-71.01,42.68
"01922",-70.92,42.75
"01923",-70.95,42.57
"01929",-70.77,42.62
"01930",-70.68,42.62
"01931",-70.66,42.61
"01936",-70.85,42.62
"01937",-70.97,42.58
"01938",-70.84,42.68
"01940",-71.03,42.53
"01944",-70.76,42.58
"01945",-70.86,42.49
"01949",-71.01,42.60
"01950",-70.90,42.81
"01951",-70.84,42.76
"01952",-70.86,42.84
"01960",-70.97,42.53
"01961",-70.94,42.53
"01965",-70.82,42.55
"01966",-70.62,42.65
"01969",-70.89,42.72
"01970",-70.90,42.51
"01971",-70.89,42.51
"01982",-70.86,42.62
"01983",-70.94,42.63
"01984",-70.88,42.60
"01985",-70.96,42.79
"02018",-70.88,42.17
"02019",-71.47,42.07
"02020",-70.64,42.09
"02021",-71.12,42.17
"02025",-70.81,42.23
"02026",-71.17,42.24
"02027",-71.17,42.24
"02030",-71.28,42.23
"02032",-71.21,42.15
"02035",-71.24,42.06
"02038",-71.41,42.08
"02040",-70.74,42.17
