Aircraft_Group,Aircraft_Type,Aircraft_Config,LineNUM
6,629,1,396
6,631,1,397
6,673,1,398
6,673,1,399
6,631,1,400
6,629,1,401
6,629,1,402
6,629,1,403
6,631,1,404
6,629,1,405
6,631,1,406
6,631,1,407
6,631,1,408
6,629,1,409
6,631,1,410
6,629,1,411
6,629,1,412
6,629,1,413
6,631,1,414
6,631,1,415
6,614,1,416
6,698,1,417
6,614,1,418
6,698,1,419
6,698,1,420
6,634,1,421
6,694,1,422
6,614,1,423
6,698,1,424
6,694,1,425
6,614,1,426
6,619,1,427
6,614,1,428
6,619,1,429
6,612,1,430
6,614,1,431
6,619,1,432
6,619,1,433
6,619,1,434
6,614,1,435
6,619,1,436
6,619,1,437
6,619,1,438
6,612,1,439
6,614,1,440
6,619,1,441
6,619,1,442
6,619,1,443
6,619,1,444
6,619,1,445
6,619,1,446
6,619,1,447
6,619,1,448
6,619,1,449
6,614,1,450
6,673,1,451
6,673,1,452
6,677,1,453
6,673,1,454
6,673,1,455
6,677,1,456
6,677,1,457
6,673,1,458
6,677,1,459
6,677,1,460
6,673,1,461
6,673,1,462
6,677,1,463
6,677,1,464
6,677,1,465
6,677,1,466
6,677,1,467
6,698,1,468
6,698,1,469
6,699,1,470
6,699,1,471
6,694,1,472
6,675,1,473
6,675,1,474
6,675,1,475
6,675,1,476
6,675,1,477
6,675,1,478
6,675,1,479
6,675,1,480
6,675,1,481
6,622,2,482
6,673,1,483
6,673,1,484
6,655,1,485
6,655,1,486
6,631,1,487
6,631,1,488
6,631,1,489
6,631,1,490
6,629,1,491
6,673,1,492
6,673,1,493
6,631,1,494
6,631,1,495
6,629,1,496
6,631,1,497
6,629,1,498
6,673,1,499
6,673,1,500
6,629,1,501
6,631,1,502
6,698,1,503
6,634,1,504
6,694,1,505
6,614,1,506
6,694,1,507
6,698,1,508
6,694,1,509
6,634,1,510
6,614,1,511
6,614,1,512
6,694,1,513
6,614,1,514
6,694,1,515
6,622,1,516
6,614,1,517
6,698,1,518
6,614,1,519
6,698,1,520
6,634,1,521
6,637,1,522
6,634,1,523
6,694,1,524
6,622,1,525
6,614,1,526
6,634,1,527
6,614,1,528
6,614,1,529
6,619,1,530
6,614,1,531
6,619,1,532
6,619,1,533
6,614,1,534
6,619,1,535
6,619,1,536
6,612,1,537
6,614,1,538
6,619,1,539
6,619,1,540
6,673,1,541
6,677,1,542
6,677,1,543
6,673,1,544
6,694,1,545
6,698,1,546
6,694,1,547
6,698,1,548
6,614,1,549
6,675,1,550
6,675,1,551
6,631,1,552
6,631,1,553
6,691,2,554
6,691,2,555
6,626,2,556
6,626,2,557
6,631,1,558
6,631,1,559
6,631,1,560
6,629,1,561
6,673,1,562
6,629,1,563
6,673,1,564
6,631,1,565
6,631,1,566
6,673,1,567
6,629,1,568
6,631,1,569
6,631,1,570
6,629,1,571
6,629,1,572
6,631,1,573
6,631,1,574
6,673,1,575
6,629,1,576
6,631,1,577
6,694,1,578
6,634,1,579
6,698,1,580
6,694,1,581
6,634,1,582
6,698,1,583
6,627,1,584
6,698,1,585
6,694,1,586
6,694,1,587
6,694,1,588
6,694,1,589
6,698,1,590
6,614,1,591
6,698,1,592
6,634,1,593
6,634,1,594
6,694,1,595
6,614,1,596
6,698,1,597
6,698,1,598
6,698,1,599
6,619,1,600
6,612,1,601
6,619,1,602
6,619,1,603
