UNIQUE_CARRIER,Unique_Carrier_Name,Unique_Carrier_Entity________,Carrier_Name,Carrier_Group,Carrier_Group_New,Airline_ID,Region,Carrier,DEST_AIRPORT_ID,ORIGIN_AIRPORT_ID,LineNUM
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11140,11292,57
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11481,11292,58
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11973,11292,59
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11996,11292,60
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,12896,11292,61
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,12992,11292,62
WN,Southwest Airlines Co.,6725,Southwest Airlines Co.,3,3,19393,D,WN,11109,14831,63
WN,Southwest Airlines Co.,11033,Southwest Airlines Co.,3,3,19393,L,WN,11292,11109,64
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q,10423,10325,65
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q,13930,10325,66
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q,14831,10325,67
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q,10325,10423,68
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q,10325,11066,69
27Q,"Jet Aviation Flight Services, Inc.",1194,"Jet Aviation Flight Services, Inc.",1,1,21652,D,27Q,10372,14792,70
X9,Omni Air International LLC,16736,Omni Air International LLC,2,2,20377,I,X9,12889,11292,71
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,11292,10466,72
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,11292,10747,73
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,13796,11292,74
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,14275,11292,75
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,14869,11292,76
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,11921,11563,77
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,11563,11921,78
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,11292,14576,79
09Q,"Swift Air, LLC",1130,"Swift Air, LLC",1,1,21161,D,09Q,11292,15370,80
KLQ,Kalitta Charters II,6774,Kalitta Charters II,1,1,20372,D,KLQ,13796,11292,81
KLQ,Kalitta Charters II,6774,Kalitta Charters II,1,1,20372,D,KLQ,11292,11376,82
LF,CFM Inc d/b/a Contour Airlines,1189,CFM Inc d/b/a Contour Airlines,1,6,21635,D,LF,13342,11292,83
LF,CFM Inc d/b/a Contour Airlines,1189,CFM Inc d/b/a Contour Airlines,1,6,21635,D,LF,11292,14570,84
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,10590,11292,85
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,10590,11719,86
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,11292,10590,87
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,11719,10590,88
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,13502,10590,89
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,14288,10590,90
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,10590,13502,91
SY,Sun Country Airlines d/b/a MN Airlines,6795,Sun Country Airlines d/b/a MN Airlines,2,2,20422,D,SY,10590,14288,92
U7,USA Jet Airlines Inc.,6912,USA Jet Airlines Inc.,2,2,20447,D,U7,14288,11840,93
U7,USA Jet Airlines Inc.,6912,USA Jet Airlines Inc.,2,2,20447,D,U7,13796,14288,94
9S,Southern Air Inc.,6841,Southern Air Inc.,2,2,20190,D,9S,11292,11193,95
9S,Southern Air Inc.,6841,Southern Air Inc.,2,2,20190,D,9S,11193,11292,96
AS,Alaska Airlines Inc.,6031,Alaska Airlines Inc.,3,3,19930,D,AS,11292,11109,97
AS,Alaska Airlines Inc.,6031,Alaska Airlines Inc.,3,3,19930,D,AS,11109,14747,98
AX,Trans States Airlines,6904,Trans States Airlines,1,5,20237,D,AX,11292,10558,99
AX,Trans States Airlines,6904,Trans States Airlines,1,5,20237,D,AX,13851,11292,100
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,10325,101
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,10558,102
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,11283,103
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,10558,11292,104
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11283,11292,105
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,11292,106
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11468,11292,107
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,12899,11292,108
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,12902,11292,109
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,11468,110
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,12899,111
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,10325,12902,112
KS,Peninsula Airways Inc.,6975,Peninsula Airways Inc.,1,5,20225,D,KS,11292,12902,113
ZK,Great Lakes Airlines,6932,Great Lakes Airlines,1,6,20358,D,ZK,14081,11292,114
ZK,Great Lakes Airlines,6932,Great Lakes Airlines,1,6,20358,D,ZK,11711,14288,115
4B,Boutique Air,1177,Boutique Air,1,6,21599,D,4B,11292,11292,116
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,11292,10558,117
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,10409,11292,118
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,12389,11292,119
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,20354,D,AJQ,11292,12389,120
G4,Allegiant Air,6035,Allegiant Air,3,3,20368,D,G4,12889,11921,121
G4,Allegiant Air,6035,Allegiant Air,3,3,20368,D,G4,11921,12889,122
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,11292,11109,123
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,11298,11109,124
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,12278,11109,125
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,10721,11292,126
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,12892,11292,127
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,12992,11292,128
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,11292,13204,129
AA,American Airlines Inc.,0A050,American Airlines Inc.,3,3,19805,D,AA,11109,13930,130
