ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC,LineNUM
12902,1290203,LBL,62,10325,1032504,APA,82,112
12902,1290203,LBL,62,11292,1129202,DEN,82,113
11292,1129202,DEN,82,14081,1408102,PGA,81,114
14288,1428803,PUB,82,11711,1171102,FMN,86,115
11292,1129202,DEN,82,11292,1129202,DEN,82,116
10558,1055803,BFF,65,11292,1129202,DEN,82,117
11292,1129202,DEN,82,10409,1040903,ATY,67,118
11292,1129202,DEN,82,12389,1238902,ISN,66,119
12389,1238902,ISN,66,11292,1129202,DEN,82,120
11921,1192102,GJT,82,12889,1288903,LAS,85,121
12889,1288903,LAS,85,11921,1192102,GJT,82,122
11109,1110902,COS,82,11292,1129202,DEN,82,123
11109,1110902,COS,82,11298,1129804,DFW,74,124
11109,1110902,COS,82,12278,1227803,ICT,62,125
11292,1129202,DEN,82,10721,1072102,BOS,13,126
11292,1129202,DEN,82,12892,1289205,LAX,91,127
11292,1129202,DEN,82,12992,1299204,LIT,71,128
13204,1320402,MCO,33,11292,1129202,DEN,82,129
13930,1393004,ORD,41,11109,1110902,COS,82,130
14492,1449202,RDU,36,11292,1129202,DEN,82,131
14771,1477102,SFO,91,11292,1129202,DEN,82,132
14869,1486903,SLC,87,11109,1110902,COS,82,133
11292,1129202,DEN,82,12892,1289205,LAX,91,134
11292,1129202,DEN,82,13487,1348702,MSP,63,135
11292,1129202,DEN,82,13487,1348702,MSP,63,136
11292,1129202,DEN,82,14869,1486903,SLC,87,137
11433,1143302,DTW,43,11292,1129202,DEN,82,138
13487,1348702,MSP,63,11292,1129202,DEN,82,139
13487,1348702,MSP,63,11292,1129202,DEN,82,140
11292,1129202,DEN,82,15370,1537002,TUL,73,141
11986,1198603,GRR,43,11292,1129202,DEN,82,142
11097,1109702,COD,88,11292,1129202,DEN,82,143
11109,1110902,COS,82,12992,1299204,LIT,71,144
11109,1110902,COS,82,13486,1348602,MSO,84,145
11109,1110902,COS,82,15376,1537602,TUS,81,146
11122,1112203,CPR,88,11292,1129202,DEN,82,147
11278,1127803,DCA,38,11109,1110902,COS,82,148
11292,1129202,DEN,82,10140,1014003,ABQ,86,149
11292,1129202,DEN,82,10397,1039705,ATL,34,150
11292,1129202,DEN,82,10423,1042302,AUS,74,151
11292,1129202,DEN,82,11003,1100303,CID,61,152
11292,1129202,DEN,82,11097,1109702,COD,88,153
11292,1129202,DEN,82,11122,1112203,CPR,88,154
11292,1129202,DEN,82,11298,1129804,DFW,74,155
11292,1129202,DEN,82,11986,1198603,GRR,43,156
11292,1129202,DEN,82,12266,1226603,IAH,74,157
11292,1129202,DEN,82,12441,1244102,JAC,88,158
11292,1129202,DEN,82,12992,1299204,LIT,71,159
11292,1129202,DEN,82,13264,1326403,MFR,92,160
11292,1129202,DEN,82,13871,1387102,OMA,65,161
11292,1129202,DEN,82,13930,1393004,ORD,41,162
11292,1129202,DEN,82,14489,1448902,RDM,92,163
11292,1129202,DEN,82,14679,1467903,SAN,91,164
11292,1129202,DEN,82,14730,1473003,SDF,52,165
11292,1129202,DEN,82,14771,1477102,SFO,91,166
11292,1129202,DEN,82,14771,1477102,SFO,91,167
11292,1129202,DEN,82,14908,1490803,SNA,91,168
11292,1129202,DEN,82,15041,1504102,SUN,83,169
11298,1129804,DFW,74,11109,1110902,COS,82,170
11921,1192102,GJT,82,12892,1289205,LAX,91,171
12266,1226603,IAH,74,11292,1129202,DEN,82,172
12441,1244102,JAC,88,11292,1129202,DEN,82,173
12888,1288802,LAR,88,11292,1129202,DEN,82,174
12892,1289205,LAX,91,11292,1129202,DEN,82,175
12992,1299204,LIT,71,11292,1129202,DEN,82,176
13264,1326403,MFR,92,11292,1129202,DEN,82,177
13486,1348602,MSO,84,11109,1110902,COS,82,178
13930,1393004,ORD,41,11292,1129202,DEN,82,179
14057,1405702,PDX,92,11292,1129202,DEN,82,180
14252,1425202,PSC,93,11921,1192102,GJT,82,181
14679,1467903,SAN,91,11292,1129202,DEN,82,182
14683,1468303,SAT,74,11292,1129202,DEN,82,183
14794,1479403,SGU,87,11109,1110902,COS,82,184
14893,1489302,SMF,91,11292,1129202,DEN,82,185
14908,1490803,SNA,91,11292,1129202,DEN,82,186
10140,1014003,ABQ,86,11292,1129202,DEN,82,187
10529,1052904,BDL,11,11292,1129202,DEN,82,188
10721,1072102,BOS,13,11292,1129202,DEN,82,189
10849,1084903,BZN,84,11292,1129202,DEN,82,190
11292,1129202,DEN,82,10140,1014003,ABQ,86,191
11292,1129202,DEN,82,10620,1062002,BIL,84,192
11292,1129202,DEN,82,10721,1072102,BOS,13,193
11292,1129202,DEN,82,10849,1084903,BZN,84,194
11292,1129202,DEN,82,11193,1119302,CVG,52,195
11292,1129202,DEN,82,11433,1143302,DTW,43,196
11292,1129202,DEN,82,11697,1169704,FLL,33,197
11292,1129202,DEN,82,12264,1226402,IAD,38,198
11292,1129202,DEN,82,12266,1226603,IAH,74,199
11292,1129202,DEN,82,12889,1288903,LAS,85,200
