ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
WY,56,Wyoming,CO,8,Colorado,143
CO,8,Colorado,AR,5,Arkansas,144
CO,8,Colorado,MT,30,Montana,145
CO,8,Colorado,AZ,4,Arizona,146
WY,56,Wyoming,CO,8,Colorado,147
VA,51,Virginia,CO,8,Colorado,148
CO,8,Colorado,NM,35,New Mexico,149
CO,8,Colorado,GA,13,Georgia,150
CO,8,Colorado,TX,48,Texas,151
CO,8,Colorado,IA,19,Iowa,152
CO,8,Colorado,WY,56,Wyoming,153
CO,8,Colorado,WY,56,Wyoming,154
CO,8,Colorado,TX,48,Texas,155
CO,8,Colorado,MI,26,Michigan,156
CO,8,Colorado,TX,48,Texas,157
CO,8,Colorado,WY,56,Wyoming,158
CO,8,Colorado,AR,5,Arkansas,159
CO,8,Colorado,OR,41,Oregon,160
CO,8,Colorado,NE,31,Nebraska,161
CO,8,Colorado,IL,17,Illinois,162
CO,8,Colorado,OR,41,Oregon,163
CO,8,Colorado,CA,6,California,164
CO,8,Colorado,KY,21,Kentucky,165
CO,8,Colorado,CA,6,California,166
CO,8,Colorado,CA,6,California,167
CO,8,Colorado,CA,6,California,168
CO,8,Colorado,ID,16,Idaho,169
TX,48,Texas,CO,8,Colorado,170
CO,8,Colorado,CA,6,California,171
TX,48,Texas,CO,8,Colorado,172
WY,56,Wyoming,CO,8,Colorado,173
WY,56,Wyoming,CO,8,Colorado,174
CA,6,California,CO,8,Colorado,175
AR,5,Arkansas,CO,8,Colorado,176
OR,41,Oregon,CO,8,Colorado,177
MT,30,Montana,CO,8,Colorado,178
IL,17,Illinois,CO,8,Colorado,179
OR,41,Oregon,CO,8,Colorado,180
WA,53,Washington,CO,8,Colorado,181
CA,6,California,CO,8,Colorado,182
TX,48,Texas,CO,8,Colorado,183
UT,49,Utah,CO,8,Colorado,184
CA,6,California,CO,8,Colorado,185
CA,6,California,CO,8,Colorado,186
